47957207	0.05	50
85104553	0.05	50
135212009	0.05	49
74861435	0.05	50
115640141	0.05	50
118524385	0.05	49
98598929	0.05	48
138987345	0.05	50
42912154	0.05	49
44450381	0.05	48
75628543	0.05	50
45071889	0.05	50
47831877	0.05	50
94267442	0.05	50
59700699	0.05	50
57913255	0.05	48
57040954	0.05	46
76051429	0.05	49
85011521	0.05	48
85010825	0.05	50
48184818	0.05	50
44469173	0.05	47
50276298	0.05	47
118608137	0.05	48
137925133	0.05	49
84989481	0.05	50
84987857	0.05	48
45867765	0.05	46
102954401	0.05	50
135927102	0.05	50
98578165	0.05	48
102951269	0.05	50
75630399	0.05	50
56951121	0.05	48
151694035	0.05	50
57906845	0.05	50
84942153	0.05	47
84939137	0.05	50
118712305	0.05	50
96225705	0.05	50
118723441	0.05	48
118738289	0.05	48
86696053	0.05	48
57202145	0.05	48
114435647	0.05	50
118766825	0.05	50
42986723	0.05	48
76044933	0.05	48
88882769	0.05	48
118794085	0.05	50
62671641	0.05	48
47215453	0.05	50
96234289	0.05	50
118832829	0.05	48
47871201	0.05	50
118838745	0.05	48
118848141	0.05	50
111135513	0.05	48
64786042	0.05	46
78147897	0.05	49
66921119	0.05	50
135139509	0.05	46
36958153	0.05	50
118946277	0.05	50
44589813	0.05	50
95666054	0.05	49
118995925	0.05	48
39414821	0.05	48
44615101	0.05	48
119052301	0.05	50
102920529	0.05	48
47889993	0.05	46
129831650	0.05	50
84687649	0.05	50
84682661	0.05	48
84669669	0.05	48
47897417	0.05	50
127568819	0.05	48
115777253	0.05	49
151708651	0.05	48
143788353	0.05	48
102908349	0.05	48
44659529	0.05	50
98520861	0.05	50
119182105	0.05	50
119183033	0.05	46
44670085	0.05	48
61881267	0.05	50
71636538	0.05	46
138887469	0.05	48
47906465	0.05	48
115794885	0.05	47
120197831	0.05	50
119218181	0.05	50
47918297	0.05	50
88145821	0.05	48
66920025	0.05	48
84518057	0.05	47
119293001	0.05	50
75644667	0.05	50
75645015	0.05	48
84486853	0.05	49
45810809	0.05	47
41833238	0.05	48
112642055	0.05	48
84455301	0.05	50
61891707	0.05	50
98493601	0.05	50
105541877	0.05	48
57929929	0.05	48
115823769	0.05	50
119426633	0.05	50
42135117	0.05	48
84394749	0.05	48
148626086	0.05	50
34902053	0.05	48
71270075	0.05	50
44783185	0.05	48
33541025	0.05	50
151888354	0.05	46
47946021	0.05	50
84366793	0.05	47
16188353	0.05	50
45477077	0.05	50
44797453	0.05	48
84335009	0.05	48
67600086	0.05	46
62549957	0.05	50
119587409	0.05	50
99863282	0.05	50
84292553	0.05	50
84271441	0.05	50
84269353	0.05	49
84247545	0.05	48
98476665	0.05	48
84241281	0.05	50
114447015	0.05	50
62531977	0.05	50
44854641	0.05	49
111100017	0.05	50
102854177	0.05	48
119777533	0.05	50
44873549	0.05	50
119786001	0.05	50
84170521	0.05	48
119813841	0.05	50
84146857	0.05	50
84145233	0.05	50
119836925	0.05	48
45048109	0.05	50
119857457	0.05	50
119862677	0.05	48
137396985	0.05	46
99692975	0.05	47
84107301	0.05	50
119904437	0.05	48
90420631	0.05	50
84079577	0.05	50
51371222	0.05	46
66944153	0.05	50
105905885	0.05	49
119944689	0.05	50
125378294	0.05	50
170503733	0.05	48
98440589	0.05	48
84047213	0.05	48
52038551	0.05	50
122405794	0.05	50
136167269	0.05	50
98435717	0.05	47
57209337	0.05	48
48984870	0.05	48
154031037	0.05	48
